iter	MultiClass
0	1.060905168
1	1.025360933
2	0.9918191338
3	0.9601109008
4	0.930101354
5	0.9015505724
6	0.8743606827
7	0.8486139211
8	0.8240095335
9	0.8005256399
10	0.7779838624
11	0.7563619396
12	0.73563563
13	0.7158702268
14	0.6968922619
15	0.6785643621
16	0.6610091259
17	0.6440819911
18	0.6278082563
19	0.6121593853
20	0.5970323637
21	0.5825841296
22	0.5684718981
23	0.5549114968
24	0.5416857213
25	0.5290015691
26	0.5167521658
27	0.5049458859
28	0.4934057977
29	0.4823000275
30	0.471468638
31	0.4610376272
32	0.4508457309
33	0.4410545294
34	0.4315602254
35	0.4223029181
36	0.4133796916
37	0.4046133289
38	0.3961880692
39	0.3879346442
40	0.3799025277
41	0.3721397131
42	0.3646380831
43	0.3572693312
44	0.3501677974
45	0.343220272
46	0.3365156406
47	0.3299341347
48	0.3235810478
49	0.3173389209
50	0.3112818336
51	0.3054605078
52	0.2997136171
53	0.2941123578
54	0.2887008422
55	0.2834104307
56	0.2782473842
57	0.273237783
58	0.2683441181
59	0.2635655702
60	0.2588948045
61	0.2543481908
62	0.2499201027
63	0.2455973518
64	0.2413806305
65	0.2372810487
66	0.2332927
67	0.2293955433
68	0.2255867241
69	0.2218808512
70	0.2182590169
71	0.2147323149
72	0.2112927625
73	0.2079735877
74	0.2047008466
75	0.2015131813
76	0.1984086384
77	0.1953603983
78	0.1923720744
79	0.1894566467
80	0.1866255372
81	0.1838490306
82	0.1811537214
83	0.1785314415
84	0.1759480264
85	0.1734233575
86	0.1709627811
87	0.1685554707
88	0.1662047325
89	0.1638995641
90	0.1616621545
91	0.159471736
92	0.1573261591
93	0.1552363657
94	0.1532020436
95	0.1512016393
96	0.1492592574
97	0.1473503105
98	0.1454863588
99	0.1436670905
100	0.1418837155
101	0.1401517722
102	0.1384564703
103	0.1368084372
104	0.1351818361
105	0.1336197372
106	0.1320709458
107	0.1305695288
108	0.1290892569
109	0.1276391842
110	0.1262243373
111	0.1248290461
112	0.1234854185
113	0.122195298
114	0.120907766
115	0.1196398814
116	0.1184008455
117	0.1171805495
118	0.1160050121
119	0.1148420283
120	0.1137088702
121	0.112613342
122	0.1115556576
123	0.110504768
124	0.1094696531
125	0.1084550157
126	0.1074716184
127	0.1064948511
128	0.1055537574
129	0.1046306483
130	0.1037162106
131	0.102821949
132	0.1019480938
133	0.1010958702
134	0.1002589452
135	0.0994378409
136	0.0986422381
137	0.097874469
138	0.09711767499
139	0.09638840044
140	0.09565812374
141	0.09496212972
142	0.09426344528
143	0.09358700198
144	0.0929139821
145	0.09228134636
146	0.09164728983
147	0.09102606342
148	0.09041287491
149	0.08981886054
150	0.08922980722
151	0.08864942259
152	0.08811246765
153	0.08757303353
154	0.0870306861
155	0.08654570512
156	0.0860362514
157	0.08553387
158	0.08503358353
159	0.08454223069
160	0.08407881789
161	0.08365074675
162	0.08319387804
163	0.0827438873
164	0.08232481841
165	0.08191445844
166	0.08149991923
167	0.08110582508
168	0.08070911627
169	0.08031548998
170	0.07993008664
171	0.0795600643
172	0.07919436709
173	0.07883839213
174	0.07848976934
175	0.07814108101
176	0.07780366537
177	0.0774712831
178	0.07714089721
179	0.07682525462
180	0.07652803719
181	0.07623596399
182	0.07594593653
183	0.07565136616
184	0.07538523249
185	0.07510235238
186	0.07482595323
187	0.07457183489
188	0.07432106757
189	0.07408620874
190	0.0738446196
191	0.0736060675
192	0.07336832659
193	0.07313517221
194	0.07290443339
195	0.07269407303
196	0.07246862129
197	0.07224933074
198	0.07204022737
199	0.07184636537
200	0.07164013956
201	0.07145382888
202	0.07126038656
203	0.07111037944
204	0.07093412467
205	0.07076208371
206	0.07057995889
207	0.0704141756
208	0.07027073673
209	0.07012105153
210	0.06995435966
211	0.06979016692
212	0.06965691549
213	0.06951008496
214	0.06935880502
215	0.0692249184
216	0.06911269465
217	0.06896472404
218	0.06883128828
219	0.06871110383
220	0.06858636204
221	0.06847784763
222	0.06836871785
223	0.06824931274
224	0.06813192363
225	0.0680281237
226	0.06792221082
227	0.06783931002
228	0.06772493176
229	0.06762756611
230	0.0675217806
231	0.06744000873
232	0.06732439104
233	0.06721247394
234	0.06712853452
235	0.06703620157
236	0.06694404
237	0.06686097276
238	0.06677005244
239	0.06668871048
240	0.06659199012
241	0.06652151817
242	0.0664477979
243	0.06636895383
244	0.06629647793
245	0.06621758171
246	0.06612378437
247	0.066060193
248	0.06598516729
249	0.06592998262
250	0.06586211031
251	0.06581203378
252	0.0657409211
253	0.06566668777
254	0.06560590189
255	0.0655268986
256	0.0654669277
257	0.06540960864
258	0.06534289541
259	0.06528974455
260	0.06523490063
261	0.0651801639
262	0.0651225079
263	0.0650592374
264	0.06502090139
265	0.06497448236
266	0.06492496977
267	0.06486746441
268	0.06483766862
269	0.06479818835
270	0.0647669741
271	0.06472139241
272	0.06469685659
273	0.06465621865
274	0.06459664678
275	0.06455801721
276	0.06452568091
277	0.06450072128
278	0.06446278476
279	0.06443045306
280	0.06438621104
281	0.0643512896
282	0.06432106958
283	0.06428644093
284	0.06424508458
285	0.0642247858
286	0.06418676539
287	0.06414305714
288	0.06411237861
289	0.06408444244
290	0.06405034712
291	0.06401168825
292	0.06398442783
293	0.06395659544
294	0.06392481605
295	0.06388901963
296	0.06387277555
297	0.06384320045
298	0.06380489695
299	0.06379216034
300	0.06376048127
301	0.06371978533
302	0.06369850315
303	0.06367519513
304	0.06366311042
305	0.0636484172
306	0.06362051393
307	0.06360372145
308	0.06357987439
309	0.063558204
310	0.0635364496
311	0.0635085613
312	0.06347885494
313	0.06345134097
314	0.06341012382
315	0.0634001327
316	0.06338312423
317	0.06336970947
318	0.06334503338
319	0.06334358124
320	0.06332720627
321	0.06330749947
322	0.06330361261
323	0.06329433476
324	0.06328179186
325	0.06326156073
326	0.06324410944
327	0.06323552541
328	0.0632290596
329	0.06320921689
330	0.06320079517
331	0.06318957741
332	0.06317396798
333	0.06316012871
334	0.06312669942
335	0.06310704695
336	0.0630957834
337	0.06307874325
338	0.06306463476
339	0.06305593745
340	0.06305189462
341	0.06303083749
342	0.06302465052
343	0.06301106382
344	0.06298058479
345	0.0629682312
346	0.06294471427
347	0.06294070534
348	0.06292596168
349	0.06290719291
350	0.06290023227
351	0.06289979432
352	0.06288901323
353	0.06287563755
354	0.06285333558
355	0.06284219128
356	0.06282358409
357	0.06281085129
358	0.06281045733
359	0.06278057245
360	0.06277174673
361	0.06275024974
362	0.06274893489
363	0.06274787141
364	0.06274043358
365	0.06274003502
366	0.06273010699
367	0.06272958377
368	0.06272297909
369	0.06271448132
370	0.06270331414
371	0.06268403296
372	0.06268352786
373	0.06266840583
374	0.06266032619
375	0.06265924604
376	0.0626528727
377	0.06264187672
378	0.06264168765
379	0.06262529367
380	0.06261620734
381	0.06260715371
382	0.06260653947
383	0.06259713303
384	0.06259700273
385	0.06257464458
386	0.06256531665
387	0.06256520319
388	0.06255261188
389	0.06253027181
390	0.06252179735
391	0.06252168673
392	0.06252153535
393	0.06250919962
394	0.06249034475
395	0.06247327383
396	0.06246112088
397	0.06245173464
398	0.06243630641
399	0.06242487306
400	0.06241204689
401	0.06241047217
402	0.0624010784
403	0.06239041732
404	0.06238458053
405	0.06237485242
406	0.06236512906
407	0.0623650207
408	0.0623648534
409	0.06236479888
410	0.06235395988
411	0.06235391412
412	0.06232677625
413	0.06231813408
414	0.06231729755
415	0.06229900859
416	0.06228881001
417	0.06228875608
418	0.06228149587
419	0.06226870955
420	0.06225694005
421	0.06225063141
422	0.06224127111
423	0.06221977953
424	0.0622074463
425	0.06220393871
426	0.06220389801
427	0.06219024212
428	0.06218179229
429	0.06217414171
430	0.06216709685
431	0.06216682159
432	0.0621618141
433	0.06215914364
434	0.06215771936
435	0.06215103609
436	0.0621358334
437	0.06212510406
438	0.06211739489
439	0.0621085884
440	0.06209178954
441	0.06208921522
442	0.06208606895
443	0.06207955633
444	0.06206055099
445	0.06205355041
446	0.06205273814
447	0.06203817857
448	0.06203172274
449	0.06203138676
450	0.06201398229
451	0.06201125056
452	0.06201120427
453	0.06199879505
454	0.06198569386
455	0.06197425134
456	0.06196939991
457	0.06196066323
458	0.06195126388
459	0.06194191
460	0.06194098606
461	0.06193015264
462	0.06192105454
463	0.06191738506
464	0.06191356766
465	0.06191108985
466	0.0619095145
467	0.06190728722
468	0.06190371713
469	0.06189657516
470	0.06189652853
471	0.06189220611
472	0.06189109953
473	0.06189034695
474	0.06188376194
475	0.06187922394
476	0.06187851942
477	0.06186790133
478	0.06185994889
479	0.06184672946
480	0.06184272351
481	0.06183040191
482	0.06182847531
483	0.06181704413
484	0.06181175417
485	0.06180151589
486	0.06179576601
487	0.06178705728
488	0.06178155284
489	0.06177410955
490	0.06176635188
491	0.06175884531
492	0.06174758959
493	0.06174370542
494	0.06172923666
495	0.06172746721
496	0.06172746465
497	0.06172035375
498	0.06171091163
499	0.06169824369
500	0.06169664366
501	0.06168726963
502	0.06168698655
503	0.06167728761
504	0.06167699509
505	0.06167060467
506	0.06166052187
507	0.06165579488
508	0.06164615668
509	0.06163841148
510	0.06162687105
511	0.06162034969
512	0.06161774626
513	0.06161238868
514	0.06160682247
515	0.06160074999
516	0.06160050004
517	0.06159379036
518	0.061590439
519	0.06158804736
520	0.06157356008
521	0.06157350865
522	0.06156374785
523	0.06154910808
524	0.0615454671
525	0.06154542701
526	0.06154524618
527	0.06153872377
528	0.06153044754
529	0.06152426723
530	0.06152047562
531	0.06151328462
532	0.061505634
533	0.06150558813
534	0.06150556008
535	0.06149709905
536	0.06149200441
537	0.06148505354
538	0.06148505263
539	0.06147357903
540	0.06147332053
541	0.06147331976
542	0.06147331835
543	0.06147331764
544	0.06146801301
545	0.06146228572
546	0.0614555095
547	0.06145189818
548	0.06145158049
549	0.06145153553
550	0.06144516116
551	0.06144251509
552	0.0614337739
553	0.06142532368
554	0.06142450654
555	0.06142450083
556	0.06142222368
557	0.06142106772
558	0.06141070373
559	0.06141070322
560	0.06140277506
561	0.06139802068
562	0.06139801554
563	0.06139801515
564	0.06138730302
565	0.06137865886
566	0.06137862668
567	0.061369184
568	0.06136048161
569	0.06136045032
570	0.06135553209
571	0.06134983723
572	0.06134371164
573	0.06133845342
574	0.06133844796
575	0.06133114686
576	0.06132920428
577	0.06132549107
578	0.06131173096
579	0.06131149827
580	0.06131100921
581	0.0613059259
582	0.06130522626
583	0.06130386662
584	0.06129513286
585	0.06129390497
586	0.061287044
587	0.06127623701
588	0.0612661983
589	0.06126616617
590	0.06126033883
591	0.06125299802
592	0.0612483885
593	0.0612483882
594	0.06124838792
595	0.06124151855
596	0.06123593533
597	0.06123304716
598	0.06122949143
599	0.06122656525
600	0.06121860829
601	0.06121785585
602	0.06121282722
603	0.06120877724
604	0.06120428348
605	0.06120091406
606	0.06119649776
607	0.06119644818
608	0.06119644804
609	0.06119621301
610	0.06118621328
611	0.06118602517
612	0.06118142629
613	0.06118128099
614	0.06117958941
615	0.06117541623
616	0.06116691336
617	0.06116428135
618	0.06116029714
619	0.06115670449
620	0.06115317766
