iter	Passed	Remaining
0	843	1011745
1	1784	1068712
2	2604	1039208
3	3285	982506
4	4125	985891
5	5007	996444
6	5805	989415
7	6798	1013008
8	7849	1038794
9	8789	1045964
10	9829	1062478
11	10949	1083969
12	11964	1092488
13	12962	1098109
14	14035	1108780
15	15241	1127877
16	16400	1141295
17	17444	1145546
18	18447	1146678
19	19455	1147876
20	20491	1150432
21	21570	1154995
22	22613	1157211
23	23571	1154981
24	24628	1157533
25	25620	1156862
26	26734	1161485
27	27692	1159136
28	28749	1160882
29	29842	1163872
30	30906	1165467
31	31887	1163881
32	32948	1165168
33	33891	1162264
34	34941	1163037
35	35932	1161828
36	36909	1160166
37	37937	1160079
38	38861	1156876
39	39940	1158283
40	40953	1157687
41	41974	1157296
42	43027	1157734
43	43970	1155237
44	44988	1154716
45	46028	1154704
46	47084	1155078
47	48154	1155696
48	49303	1158122
49	50312	1157198
50	51369	1157321
51	52456	1158072
52	53464	1157042
53	54410	1154720
54	55525	1155929
55	56441	1153024
56	57445	1151935
57	58506	1151978
58	59499	1150664
59	60510	1149692
60	61459	1147583
61	62423	1145764
62	63453	1145184
63	64453	1144058
64	65453	1142923
65	66358	1140153
66	67184	1136124
67	68205	1135426
68	69355	1136833
69	70271	1134385
70	71111	1130769
71	72139	1130183
72	73175	1129703
73	73985	1125782
74	74864	1122961
75	76036	1124535
76	77019	1123290
77	77765	1118630
78	78731	1117186
79	79735	1116301
80	80712	1115033
81	81600	1112549
82	82513	1110451
83	83449	1108685
84	84302	1105848
85	85220	1103907
86	86148	1102109
87	86990	1099248
88	87901	1097288
89	88867	1096028
90	89757	1093859
91	90734	1092753
92	91682	1091312
93	92617	1089730
94	93558	1088232
95	94472	1086434
96	95368	1084444
97	96227	1082069
98	97157	1080504
99	98018	1078205
100	98925	1076426
101	99987	1076333
102	100861	1074225
103	101774	1072545
104	102688	1070889
105	103687	1070136
106	104654	1069040
107	105575	1067482
108	106455	1065531
109	107303	1063284
110	108215	1061686
111	109022	1059079
112	110001	1058153
113	110919	1056656
114	111807	1054883
115	112841	1054486
116	113713	1052575
117	114704	1051779
118	115628	1050369
119	116533	1048805
120	117375	1046681
121	118406	1046244
122	119291	1044531
123	120172	1042784
124	121090	1041376
125	121988	1039803
126	122871	1038118
127	123799	1036817
128	124678	1035123
129	125636	1034087
130	126498	1032265
131	127454	1031222
132	128305	1029336
133	129361	1029102
134	130296	1027894
135	131284	1027109
136	132286	1026429
137	133310	1025913
138	134301	1025133
139	135252	1024056
140	136156	1022622
141	137096	1021464
142	138097	1020760
143	139108	1020132
144	140044	1018944
145	141008	1017965
146	141971	1016979
147	142959	1016168
148	143811	1014403
149	144680	1012763
150	145687	1012096
151	146653	1011140
152	147602	1010065
153	148562	1009065
154	149633	1008817
